[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, quantum design, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Temp(K),Field(Oe),source(A),R(V),R(ohm)
3756100141.249400,299.998900,TemperatureUnknown,0.007000,MagnetUnknown,ChamberUnknown
3756100171.249400,299.999500,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100201.249400,299.999200,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100477.783400,300.000100,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100502.418400,300.000900,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100532.418400,300.000700,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100562.418400,299.999800,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100592.418400,300.000700,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100622.418400,300.001900,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100652.418400,299.999200,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100682.418400,300.002700,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100771.143400,299.999800,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100801.143400,300.001600,Stable,0.007000,StablePersistent,PurgedAndSealed
3756100827.077400,299.999500,Stable,0.007000,StablePersistent,PurgedAndSealed
3756101175.555400,300.000100,Stable,0.007000,StablePersistent,PurgedAndSealed
3756101265.031400,300.002400,Stable,0.007000,StablePersistent,PurgedAndSealed
3756101295.031400,299.999200,Stable,0.007000,StablePersistent,PurgedAndSealed
3756101325.031400,299.998900,Stable,0.007000,StablePersistent,PurgedAndSealed
3756101355.031400,300.000100,Stable,0.007000,StablePersistent,PurgedAndSealed
3756101385.031400,299.999200,Stable,0.007000,StablePersistent,PurgedAndSealed
3756101415.031400,299.958800,Stable,0.007000,StablePersistent,PurgedAndSealed
3756101445.031400,299.665000,Tracking,0.007000,StablePersistent,PurgedAndSealed
3756101454.581400,299.576300,Chasing,0.007000,StablePersistent,PurgedAndSealed
3756101484.581400,298.764500,Chasing,0.007000,StablePersistent,PurgedAndSealed
3756101514.581400,300.116100,Tracking,0.007000,StablePersistent,PurgedAndSealed
3756101544.581400,299.849600,Tracking,0.007000,StablePersistent,PurgedAndSealed
3756101574.581400,300.222700,Near,0.007000,StablePersistent,PurgedAndSealed
3756101604.581400,299.937400,Near,0.007000,StablePersistent,PurgedAndSealed
3756101634.581400,300.090600,Near,0.007000,StablePersistent,PurgedAndSealed
3756101664.581400,300.006900,Stable,0.007000,StablePersistent,PurgedAndSealed
3756101694.581400,300.021700,Stable,41.345000,StablePersistent,PurgedAndSealed
3756101724.581400,300.019100,Stable,-0.035000,WarmingSwitch,PurgedAndSealed
3756101754.581400,300.010700,Stable,2.993000,CoolingSwitch,PurgedAndSealed
3756101784.581400,300.014900,Stable,1000.262000,WarmingSwitch,PurgedAndSealed
3756101814.581400,300.006900,Stable,1000.197000,Iterating,PurgedAndSealed
3756101844.581400,300.010500,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756101874.581400,300.008700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756101904.581400,300.006900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756101934.581400,300.009000,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756101964.581400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102020.494400,300.006900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102020.595400,300.006900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102020.695400,300.006900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102020.796400,300.006900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102020.897400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102021.019400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102021.162400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102021.262400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102021.363400,300.004500,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102021.516400,300.004500,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102021.617400,300.004500,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102021.718400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102021.867400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102021.968400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102022.069400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102022.169400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102022.328400,300.006000,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102022.429400,300.006000,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102022.530400,300.006000,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102022.630400,300.003100,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102022.778400,300.003100,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102022.879400,300.003100,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102022.979400,300.003100,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102023.080400,300.003100,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102023.202400,300.003100,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102023.324400,300.006900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102023.470400,300.006900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102023.649400,300.006900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102023.750400,300.004900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102023.866400,300.004900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102024.042400,300.004900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102024.143400,300.004900,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102024.244400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102024.381400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102024.482400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102024.583400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102024.683400,300.004500,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102024.828400,300.004500,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102024.929400,300.004500,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102025.030400,300.004500,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102025.172400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102025.273400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102025.373400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102025.541400,300.004200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102025.642400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102025.742400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102025.884400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102025.985400,300.006300,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102026.086400,300.008400,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102026.187400,300.008400,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102026.289400,300.008400,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102026.459400,300.008400,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102026.560400,300.003700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102026.661400,300.003700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102026.832400,300.003700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102026.932400,300.003700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102027.150400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102027.251400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102027.352400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102027.452400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102027.591400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102027.692400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102027.793400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102027.927400,300.005700,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102028.028400,300.002200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102028.129400,300.002200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102028.248400,300.002200,Stable,1000.197000,StablePersistent,PurgedAndSealed
3756102028.396400,300.002200,Stable,1000.197000,StablePersistent,PurgedAndSealed
