[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, 9T mag, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Field(Oe),Field Status,TempA(K),TempB(K),TempC(K),TempD(K),Ramp1,Ramp2,Setpoint1,Setpoint2,Output1(%),Output2(%),Temp Status,in plane position,out plane position
3781138887.353000,0,4,299.995,300.000,43.380,3.264,0,0,300.000,300.000,15.570,11.820,4,0.000000,NaN
3781139063.924000,0,1,300.001,299.998,43.381,3.262,0,0,300.000,300.000,15.460,11.820,4,-0.000000,NaN
3781139093.924000,0,1,299.998,300.001,43.382,3.262,0,0,300.000,300.000,15.550,11.790,4,-20.001480,NaN
3781139199.752000,0,1,300.347,0.000,43.382,3.263,0,0,300.000,300.000,19.300,0.000,4,-20.001480,NaN
3781139229.752000,0,1,300.320,0.000,43.383,3.264,0,0,300.000,300.000,11.310,0.000,4,-21.600000,NaN
3781139259.752000,0,1,299.617,0.000,43.384,3.264,0,0,300.000,300.000,16.730,0.000,4,-40.002960,NaN
3781139289.752000,0,1,299.908,217.209,43.384,3.264,0,0,300.000,300.000,24.790,0.000,4,-40.002960,NaN
3781139319.752000,0,1,300.409,0.000,43.383,3.262,0,0,300.000,300.000,15.070,0.000,4,-40.002960,NaN
3781139349.752000,0,1,299.853,0.000,43.381,3.262,0,0,300.000,300.000,13.270,0.000,4,-40.002960,NaN
3781139379.752000,0,1,299.685,0.000,43.376,3.264,0,0,300.000,300.000,23.860,0.000,4,-40.002960,NaN
3781139390.013000,0,1,299.921,0.000,43.374,3.264,0,0,300.000,300.000,24.640,0.000,4,-40.002960,NaN
3781139427.466000,0,1,300.322,0.000,43.367,3.263,0,0,300.000,300.000,13.220,0.000,4,-40.002960,NaN
3781139517.089000,0,1,300.370,0.000,43.346,3.263,0,0,300.000,300.000,16.690,0.000,4,-40.002960,NaN
3781139547.089000,0,1,299.928,0.000,43.337,3.263,0,0,300.000,300.000,13.660,0.000,4,-22.079556,NaN
3781139586.746000,0,1,299.862,0.000,43.324,3.263,0,0,300.000,300.000,24.370,0.000,4,-2.004810,NaN
3781139616.746000,0,1,300.346,0.000,43.314,3.263,0,0,300.000,300.000,17.370,0.000,4,-2.004810,NaN
3781139646.746000,0,1,299.922,0.000,43.303,3.264,0,0,300.000,300.000,14.030,0.000,4,-20.001480,NaN
3781139676.746000,0,1,299.697,0.000,43.293,3.265,0,0,300.000,300.000,22.730,0.000,4,-26.895097,NaN
3781139832.268000,0,1,300.194,0.000,43.240,3.263,0,0,300.000,300.000,13.900,0.000,4,NaN,-40.002960
3781139855.930000,0,1,299.794,0.000,43.232,3.263,0,0,300.000,300.000,16.430,0.000,4,30.009188,-40.002960
3781139905.892000,0,1,300.214,0.000,43.217,3.262,0,0,300.000,300.000,20.400,0.000,4,34.239518,-40.002960
3781140395.878000,0,4,300.025,0.000,43.101,3.260,0,0,300.000,300.000,21.820,0.000,4,84.147368,-40.002960
3781140425.878000,0,1,300.197,0.000,43.097,3.262,0,0,300.000,300.000,16.230,0.000,4,80.349923,-40.002960
3781140456.120000,0,1,299.852,0.000,43.092,3.263,0,0,300.000,300.000,17.280,0.000,4,76.430600,-40.002960
3781140486.120000,0,1,299.900,0.000,43.088,3.264,0,0,300.000,300.000,22.140,0.000,4,72.988725,-40.002960
3781140516.120000,0,1,300.205,0.000,43.083,3.263,0,0,300.000,300.000,18.100,0.000,4,69.006583,-40.002960
3781140546.120000,0,1,299.969,0.000,43.079,3.263,0,0,300.000,300.000,16.010,0.000,4,68.491685,-40.002960
3781140576.120000,0,1,299.823,0.000,43.075,3.262,0,0,300.000,300.000,21.130,0.000,4,71.990740,-40.002960
3781140606.120000,0,1,300.140,0.000,43.072,3.261,0,0,300.000,300.000,19.980,0.000,4,69.749267,-40.002960
3781140636.120000,0,1,300.080,0.000,43.069,3.259,0,0,300.000,300.000,15.770,0.000,4,65.464575,-40.002960
3781140666.120000,0,1,299.815,0.000,43.066,3.262,0,0,300.000,300.000,19.390,0.000,4,61.784849,-40.002960
3781140696.120000,0,1,300.025,0.000,43.062,3.263,0,0,300.000,300.000,21.400,0.000,4,57.705794,-40.002960
3781140726.120000,0,1,300.159,0.000,43.059,3.263,0,0,300.000,300.000,16.630,0.000,4,60.169415,-40.002960
3781140756.120000,0,1,299.874,0.000,43.056,3.262,0,0,300.000,300.000,17.720,0.000,4,63.964040,-40.002960
3781140786.120000,0,1,299.926,0.000,43.053,3.261,0,0,300.000,300.000,21.630,0.000,4,67.718934,-40.002960
3781140816.120000,0,1,300.170,0.000,43.050,3.261,0,0,300.000,300.000,18.160,0.000,4,70.000139,-40.002960
3781140846.120000,0,1,299.975,0.000,43.048,3.261,0,0,300.000,300.000,16.470,0.000,4,71.994230,-40.002960
3781141155.533000,0,1,299.907,0.000,43.022,3.264,0,0,300.000,300.000,17.870,0.000,4,70.023897,-40.002960
3781141185.533000,0,1,299.930,0.000,43.019,3.264,0,0,300.000,300.000,21.010,0.000,4,71.959331,-40.002960
3781141255.930000,0,1,299.910,0.000,43.014,3.263,0,0,300.000,300.000,17.990,0.000,4,62.864310,-40.002960
3781141285.930000,0,1,299.939,0.000,43.011,3.261,0,0,300.000,300.000,20.880,0.000,4,62.863236,-40.002960
3781141315.930000,0,1,300.125,0.000,43.009,3.259,0,0,300.000,300.000,18.560,0.000,4,62.863102,-40.002960
3781141364.726000,0,1,299.878,0.000,43.004,3.262,0,0,300.000,300.000,19.230,0.000,4,62.863639,-40.002960
3781141394.726000,0,1,300.010,0.000,43.001,3.264,0,0,300.000,300.000,20.630,0.000,4,62.864310,-40.002960
3781141414.490000,0,1,300.116,0.000,42.999,3.262,0,0,300.000,300.000,18.630,0.000,4,62.864444,-40.002960
3781141426.360000,0,1,300.104,0.000,42.998,3.261,0,0,300.000,300.000,17.410,0.000,4,62.864579,-40.002960
3781141456.360000,0,1,299.918,0.000,42.995,3.262,0,0,300.000,300.000,18.160,0.000,4,62.864713,-48.095467
3781141505.387000,0,1,300.077,0.000,42.990,3.261,0,0,300.000,300.000,19.690,0.000,4,62.865116,-62.002590
3781141540.607000,0,1,300.022,0.000,42.988,3.258,0,0,300.000,300.000,17.220,0.000,4,62.865384,-62.002590
3781141570.607000,0,1,299.893,0.000,42.983,3.261,0,0,300.000,300.000,19.760,0.000,4,62.865384,-62.002590
3781141583.745000,0,1,299.943,0.000,42.982,3.260,0,0,300.000,300.000,20.610,0.000,4,62.865250,-62.002590
3781141613.745000,0,1,300.097,0.000,42.979,3.263,0,0,300.000,300.000,18.800,0.000,4,62.865384,-62.002590
3781141643.745000,0,1,299.999,0.000,42.975,3.262,0,0,300.000,300.000,17.490,0.000,4,62.865652,-62.002590
3781141723.324000,0,1,300.094,0.000,42.967,3.262,0,0,300.000,300.000,18.010,0.000,4,62.865384,-62.002590
3781141753.324000,0,1,299.948,0.000,42.965,3.258,0,0,300.000,300.000,18.050,0.000,4,62.865384,-62.002590
3781141783.324000,0,1,299.945,0.000,42.962,3.259,0,0,300.000,300.000,20.430,0.000,4,62.320016,-62.002590
3781141813.324000,0,1,300.088,0.000,42.959,3.260,0,0,300.000,300.000,18.950,0.000,4,62.887934,-62.002590
3781141843.324000,0,1,300.002,0.000,42.956,3.264,0,0,300.000,300.000,17.570,0.000,4,64.962160,-62.002590
3781141873.324000,0,1,299.913,0.000,42.953,3.262,0,0,300.000,300.000,19.940,0.000,4,66.038534,-62.002590
3781141903.324000,0,1,300.054,0.000,42.951,3.261,0,0,300.000,300.000,19.760,0.000,4,67.481888,-62.002590
