[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, 9T mag, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Field(Oe),Field Status,TempA(K),TempB(K),TempC(K),TempD(K),Ramp1,Ramp2,Setpoint1,Setpoint2,Output1(%),Output2(%),Temp Status
3752702928.968800,0.000,Standby,2.116,2.000,34.961,3.089,0,0,2.000,2.000,0.230,0.020,1
3752702938.968800,0.000,Standby,2.112,2.000,34.962,3.089,0,0,2.000,2.000,0.270,0.020,1
3752702948.968800,0.000,Standby,2.104,2.000,34.961,3.090,0,0,2.000,2.000,0.030,0.020,1
3752702958.968800,0.000,Standby,2.091,2.000,34.962,3.090,0,0,2.000,2.000,0.000,0.020,1
3752702968.968800,0.000,Standby,2.111,2.001,34.962,3.089,0,0,2.000,2.000,0.010,0.020,1
3752702978.968800,0.000,Standby,2.117,1.999,34.961,3.089,0,0,2.000,2.000,0.270,0.020,1
3752702988.968800,0.000,Standby,2.104,2.000,34.961,3.089,0,0,2.000,2.000,0.210,0.020,1
3752702998.968800,0.000,Standby,2.094,2.000,34.961,3.090,0,0,2.000,2.000,0.000,0.020,1
3752703008.968800,0.000,Standby,2.093,2.000,34.961,3.089,0,0,2.000,2.000,0.000,0.020,1
3752703018.968800,0.000,Standby,2.107,2.000,34.961,3.088,0,0,2.000,2.000,0.000,0.020,1
3752703028.968800,0.000,Standby,2.116,1.999,34.961,3.089,0,0,2.000,2.000,0.250,0.020,1
3752703038.968800,0.000,Standby,2.103,2.000,34.961,3.089,0,0,2.000,2.000,0.240,0.020,1
3752703048.968800,0.000,Standby,2.097,2.000,34.962,3.088,0,0,2.000,2.000,0.000,0.020,1
3752703058.968800,0.000,Standby,2.097,2.000,34.961,3.088,0,0,2.000,2.000,0.000,0.020,1
3752703068.968800,0.000,Standby,2.107,2.000,34.961,3.090,0,0,2.000,2.000,0.000,0.020,1
3752703078.968800,0.000,Standby,2.115,2.000,34.962,3.089,0,0,2.000,2.000,0.240,0.020,1
3752703088.968800,0.000,Standby,2.113,2.000,34.961,3.090,0,0,2.000,2.000,0.270,0.020,1
3752703098.968800,0.000,Standby,2.093,2.000,34.961,3.089,0,0,2.000,2.000,0.000,0.020,1
3752703108.968800,0.000,Standby,2.095,1.999,34.961,3.089,0,0,2.000,2.000,0.000,0.020,1
3752703118.968800,0.000,Standby,2.110,2.000,34.962,3.089,0,0,2.000,2.000,0.010,0.020,1
3752703128.968800,0.000,Standby,2.113,2.000,34.961,3.090,0,0,2.000,2.000,0.280,0.020,1
3752703138.968800,0.000,Standby,2.113,2.000,34.961,3.089,0,0,2.000,2.000,0.250,0.020,1
3752703148.968800,0.000,Standby,2.093,2.000,34.961,3.089,0,0,2.000,2.000,0.000,0.020,1
3752703158.968800,0.000,Standby,2.095,2.001,34.962,3.088,0,0,2.000,2.000,0.000,0.020,1
3752703168.968800,0.000,Standby,2.109,2.000,34.962,3.089,0,0,2.000,2.000,0.000,0.020,1
3752703178.968800,0.000,Standby,2.113,2.000,34.962,3.088,0,0,2.000,2.000,0.220,0.020,1
3752703188.968800,0.000,Standby,2.105,1.999,34.962,3.089,0,0,2.000,2.000,0.000,0.020,1
3752703198.968800,0.000,Standby,2.093,1.998,34.962,3.090,0,0,2.000,2.000,0.040,0.010,1
3752703208.968800,0.000,Standby,2.098,2.000,34.962,3.090,0,0,2.000,2.000,0.050,0.020,1
3752703218.968800,0.000,Standby,2.113,1.999,34.962,3.091,0,0,2.000,2.000,0.250,0.020,1
3752703228.968800,0.000,Standby,2.114,1.999,34.962,3.089,0,0,2.000,2.000,0.000,0.020,1
3752703238.968800,0.000,Standby,2.098,2.003,34.962,3.090,0,0,2.000,2.000,0.000,0.020,1
3752703248.968800,0.000,Standby,2.092,1.999,34.962,3.090,0,0,2.000,2.000,0.000,0.020,1
3752703258.968800,0.000,Standby,2.099,2.000,34.962,3.090,0,0,2.000,2.000,0.250,0.020,1
3752703268.968800,0.000,Standby,2.114,1.999,34.962,3.090,0,0,2.000,2.000,0.270,0.020,1
3752703278.968800,0.000,Standby,2.117,1.999,34.962,3.089,0,0,2.000,2.000,0.230,0.020,1
3752703288.968800,0.000,Standby,2.097,2.003,34.962,3.089,0,0,2.000,2.000,0.000,0.020,1
3752703298.968800,0.000,Standby,2.090,1.999,34.963,3.089,0,0,2.000,2.000,0.020,0.010,1
3752703308.968800,0.000,Standby,2.090,1.999,34.962,3.089,0,0,2.000,2.000,0.000,0.020,1
3752703318.968800,0.000,Standby,2.107,2.002,34.963,3.088,0,0,2.000,2.000,0.080,0.010,1
3752703328.968800,0.000,Standby,2.114,1.999,34.963,3.089,0,0,2.000,2.000,0.090,0.010,1
3752703338.968800,0.311,Sweeping up,2.099,2.001,34.963,3.091,0,0,2.000,2.000,0.000,0.020,1
3752703348.968800,1.277,Sweeping up,2.096,1.999,34.963,3.112,0,0,2.000,2.000,0.000,0.020,1
3752703358.968800,2.337,Sweeping up,2.095,1.999,34.962,3.155,0,0,2.000,2.000,0.240,0.020,1
3752703368.968800,3.403,Sweeping up,2.111,2.001,34.962,3.226,0,0,2.000,2.000,0.220,0.020,1
3752703378.968800,4.414,Sweeping up,2.116,1.999,34.962,3.332,0,0,2.000,2.000,0.220,0.010,1
3752703388.968800,5.481,Sweeping up,2.103,2.000,34.962,3.480,0,0,2.000,2.000,0.000,0.020,1
3752703398.968800,6.556,Sweeping up,2.094,2.001,34.961,3.629,0,0,2.000,2.000,0.000,0.020,1
3752703408.968800,7.641,Sweeping up,2.111,1.999,34.960,3.749,0,0,2.000,2.000,0.140,0.010,1
3752703418.968800,8.676,Sweeping up,2.119,2.000,34.960,3.828,0,0,2.000,2.000,0.100,0.020,1
3752703428.968800,9.770,Sweeping up,2.107,2.000,34.958,3.876,0,0,2.000,2.000,0.070,0.020,1
3752703438.968800,10.864,Sweeping up,2.101,1.999,34.956,3.902,0,0,2.000,2.000,0.090,0.020,1
3752703448.968800,11.959,Sweeping up,2.096,2.002,34.956,3.915,0,0,2.000,2.000,0.140,0.010,1
