[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, 9T mag, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Field(Oe),Field Status,TempA(K),TempB(K),TempC(K),TempD(K),Ramp1,Ramp2,Setpoint1,Setpoint2,Output1(%),Output2(%),Temp Status,in plane position,out plane position
3785908994.141000,0,4,10.000,10.000,35.827,3.087,0,0,10.000,10.000,0.130,0.690,4,-91.957352,-21.979648
3785909021.670000,0,4,10.000,9.999,35.825,3.086,0,0,10.000,10.000,0.130,0.700,4,-91.956950,-21.979648
3785909051.670000,0,1,10.000,10.003,35.823,3.086,0,0,10.000,10.000,0.130,0.690,1,-91.957889,-21.979648
3785909081.670000,0,1,10.000,10.004,35.820,3.086,0,0,10.000,10.000,0.140,0.690,1,-91.956950,-21.979648
3785909111.670000,0,1,10.000,10.003,35.816,3.086,0,0,10.000,10.000,0.140,0.700,1,-91.956413,-21.979648
3785909141.670000,0,1,10.000,10.000,35.813,3.085,0,0,10.000,10.000,0.140,0.700,1,-91.956413,-21.979648
3785909171.670000,0,1,10.000,9.998,35.808,3.086,0,0,10.000,10.000,0.140,0.700,1,-91.955339,-21.979648
3785909201.670000,0,1,10.000,10.001,35.804,3.086,0,0,10.000,10.000,0.140,0.690,1,-91.958829,-21.979648
3785909231.670000,0,1,10.000,10.002,35.800,3.086,0,0,10.000,10.000,0.130,0.690,1,-91.957084,-21.979648
3785909261.670000,0,1,10.000,10.001,35.797,3.086,0,0,10.000,10.000,0.140,0.700,1,-91.956010,-21.979648
3785909291.670000,0,1,10.000,9.998,35.795,3.086,0,0,10.000,10.000,0.130,0.710,1,-91.959768,-21.979648
3785909321.670000,0,1,10.000,9.999,35.792,3.085,0,0,10.000,10.000,0.130,0.700,1,-91.959500,-21.979648
3785909351.670000,0,1,10.000,9.999,35.789,3.085,0,0,10.000,10.000,0.140,0.700,1,-91.959366,-21.979648
3785909381.670000,0,1,10.000,9.997,35.785,3.086,0,0,10.000,10.000,0.130,0.700,1,-91.958695,-21.979648
3785909411.670000,0,1,10.000,9.999,35.781,3.087,0,0,10.000,10.000,0.130,0.700,1,-91.959366,-21.979648
3785909441.670000,0,1,10.000,10.002,35.777,3.087,0,0,10.000,10.000,0.130,0.690,1,-91.960037,-21.979648
