[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, quantum design, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Temp(K),Temp Status,Field(Oe),Field Status,Chamber Status2
3795773067.948050,290.000000,Stable,1000.000000,StablePersistent,PurgedAndSealed
3795773097.948175,291.833221,Stable,1000.000000,StablePersistent,PurgedAndSealed
3795773127.948818,296.832916,Tracking,1000.000000,StablePersistent,PurgedAndSealed
3795773157.948937,300.000000,Tracking,1000.000000,StablePersistent,PurgedAndSealed
3795773187.949069,300.000000,Near,1000.000000,StablePersistent,PurgedAndSealed
3795773217.949734,300.000000,Near,876.000000,StablePersistent,PurgedAndSealed
3795773247.950546,300.000000,Stable,612.000000,Charging,PurgedAndSealed
3795773277.950667,300.000000,Stable,351.000000,Charging,PurgedAndSealed
3795773307.950794,300.000000,Stable,95.000000,Charging,PurgedAndSealed
3795773337.950920,300.000000,Near,0.000000,Charging,PurgedAndSealed
3795773367.951568,300.000000,Near,0.000000,StablePersistent,PurgedAndSealed
3795773397.951815,300.000000,Stable,207.000000,Charging,PurgedAndSealed
3795773427.951973,300.000000,Stable,455.000000,Charging,PurgedAndSealed
3795773457.953128,300.000000,Stable,706.000000,Charging,PurgedAndSealed
3795773487.953795,300.000000,Stable,956.000000,Charging,PurgedAndSealed
3795773517.954429,297.833466,Stable,1000.000000,Charging,PurgedAndSealed
3795773547.954555,292.833771,Tracking,1000.000000,StablePersistent,PurgedAndSealed
3795773577.955236,290.000000,Tracking,1000.000000,StablePersistent,PurgedAndSealed
3795773728.875897,290.000000,Stable,1000.000000,StablePersistent,PurgedAndSealed
3795773758.876023,294.666382,Stable,1000.000000,StablePersistent,PurgedAndSealed
3795773788.876166,299.666077,Tracking,1000.000000,StablePersistent,PurgedAndSealed
3795773818.876275,300.000000,Near,1000.000000,StablePersistent,PurgedAndSealed
3795773848.876403,300.000000,Near,993.000000,StablePersistent,PurgedAndSealed
3795773878.876528,300.000000,Stable,738.000000,Charging,PurgedAndSealed
3795773908.877166,300.000000,Stable,486.000000,Charging,PurgedAndSealed
