[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, 9T mag, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Field(Oe),Field Status,TempA(K),TempB(K),TempC(K),TempD(K),Ramp1,Ramp2,Setpoint1,Setpoint2,Output1(%),Output2(%),Temp Status
3749099864.211000,-90.000,Sweeping down,1.549,1.674,0.000,0.000,0,0,2.000,2.000,0,0,4
3749099894.211000,-90.000,Sweeping down,1.549,1.674,0.000,0.000,0,0,1.400,1.400,0,0,4
3749099906.559000,-90.000,Sweeping down,1.549,1.674,0.000,0.000,0,0,1.400,1.400,0,0,4
3749099916.002000,-90.000,Sweeping down,1.548,1.673,0.000,0.000,0,0,1.400,1.400,0,0,4
3749099946.002000,-90.000,Sweeping down,1.548,1.673,0.000,0.000,0,0,1.400,1.400,0,0,4
3749099976.002000,-89.679,Sweeping down,1.548,1.674,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100006.002000,-86.118,Sweeping down,1.547,1.674,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100036.002000,-82.882,Sweeping down,1.545,1.672,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100066.002000,-81.398,Sweeping down,1.545,1.672,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100096.002000,-78.329,Sweeping down,1.544,1.671,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100126.002000,-80.635,Sweeping down,1.545,1.675,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100156.002000,-84.967,Sweeping down,1.549,1.678,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100186.002000,-88.030,Sweeping down,1.551,1.681,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100216.002000,-87.674,Sweeping down,1.551,1.680,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100246.002000,-87.109,Sweeping down,1.550,1.680,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100276.002000,-83.938,Sweeping down,1.549,1.677,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100306.002000,-81.012,Sweeping down,1.548,1.675,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100336.002000,-81.942,Sweeping down,1.548,1.676,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100366.002000,-78.775,Sweeping down,1.546,1.673,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100396.002000,-75.615,Sweeping down,1.544,1.671,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100426.002000,-73.921,Sweeping down,1.543,1.670,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100456.002000,-71.648,Sweeping down,1.541,1.668,0.000,0.000,0,0,1.400,1.400,0,0,4
3749100486.002000,-71.340,Sweeping down,1.541,1.668,0.000,0.000,0,0,1.400,1.400,0,0,4
