[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, quantum design, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Temp(K),Temp Status,Field(Oe),Field Status,Chamber Status2
3766573979.168696,300.000000,TemperatureUnknown,0.000000,MagnetUnknown,ChamberUnknown
3766573998.043762,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574060.983256,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574090.599078,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574120.599386,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574187.961639,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574241.945353,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574281.042538,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574308.612867,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574338.612927,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574368.613003,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574398.613435,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574428.613541,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574458.614031,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574488.614178,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574518.614191,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574548.614331,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574578.615120,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574608.615233,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574638.615658,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574668.615757,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574698.615829,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574728.615928,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574758.616266,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574788.616404,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574818.616673,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574848.616779,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574878.617288,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574908.617399,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574938.618050,300.000000,Standby,0.000000,StablePersistent,Sealed
3766574968.618130,300.000000,Standby,0.000000,StablePersistent,Sealed
